text,date,user,sentiment,query,true_label,predicted_label,confidence,is_correct,true_label_name,predicted_label_name
i go to spain on june th and think we should try to meet up at some point,Sat May 30 09:41:48 PDT 2009,ryi621,2,NO_QUERY,2,2,0.8393404,1,positive,positive
glad life isnt a chatroom because then we would all be horny creepy rude and fat,Sun Jun 14 23:40:00 PDT 2009,tpark18,2,NO_QUERY,2,2,0.5163677,1,positive,positive
no thanks got my own cos im always drooling over him,Sun Jun 07 02:34:07 PDT 2009,IndieTashi,2,NO_QUERY,2,2,0.8276581,1,positive,positive
bet on anything betfair get cashback if you lose thats a win win situation,Tue Apr 21 03:01:57 PDT 2009,FA_Cup_Bets,2,NO_QUERY,2,2,0.88370365,1,positive,positive
the adrenaline rush while trying to get it,Thu May 28 23:04:45 PDT 2009,ichigo_han,2,NO_QUERY,2,2,0.52293354,1,positive,positive
yep leuke search in wolframalpha is bv voor alle alphas onder ons,Wed Jun 03 06:00:27 PDT 2009,Ceoceo,2,NO_QUERY,2,2,0.7444595,1,positive,positive
i just got home,Sat Apr 18 22:27:24 PDT 2009,TereWontStop,2,NO_QUERY,2,2,0.6462432,1,positive,positive
ok twitterbugssss i guess ill be back later to watch my sexy danceeee ll jk ill be back maybeeee,Sat Jun 06 15:54:30 PDT 2009,babytaco,2,NO_QUERY,2,2,0.85335124,1,positive,positive
if your name is quotaccountingquot then come over here cause im kickin your ass hahaha,Fri May 29 16:00:14 PDT 2009,VioletFiori,2,NO_QUERY,2,2,0.89437485,1,positive,positive
having headache cuz not enough sleep katsu kept meowing even when he half asleep since last night crybaby noisy boy,Tue Jun 16 01:48:15 PDT 2009,moi_luvutu,0,NO_QUERY,0,0,0.77460927,1,negative,negative
i got a speeding ticket in a mph,Sat Jun 20 20:52:21 PDT 2009,luluhears,0,NO_QUERY,0,0,0.6403562,1,negative,negative
infos and i can only do selected tasks as well for this site outrageous cant enjoy because of that,Sat Jun 20 06:35:41 PDT 2009,shanellaneza,0,NO_QUERY,0,0,0.7654111,1,negative,negative
happy fathers day to all good dads espesh mine lt,Tue Jun 16 05:40:35 PDT 2009,lindac09,2,NO_QUERY,2,2,0.8899155,1,positive,positive
agreed which is why so unethical for schools to use classroom for indoctrination teachers did that me since grd school,Sun May 03 08:50:31 PDT 2009,reverielarke,0,NO_QUERY,0,0,0.63081056,1,negative,negative
we are going to miss you then lol,Sat Jun 06 23:48:31 PDT 2009,IDIOT_1,0,NO_QUERY,0,0,0.89466166,1,negative,negative
im back and better than ever,Fri May 29 14:30:09 PDT 2009,AutumnRayn,2,NO_QUERY,2,2,0.8764656,1,positive,positive
howdy twitter currency exchange between uk and america at the moment is poo vegas is looking more and more expensive,Mon Jun 15 00:16:09 PDT 2009,Lacey_Lou,0,NO_QUERY,0,0,0.8302856,1,negative,negative
growing my businedd with about leads a day you can learn too at,Mon Jun 01 06:40:29 PDT 2009,MLMWorksGreat,2,NO_QUERY,2,2,0.8825656,1,positive,positive
is so happy that it is the last day of classes but more days of exams,Wed Jun 03 04:01:30 PDT 2009,sasha123456789,2,NO_QUERY,2,2,0.5406076,1,positive,positive
had the best dream ever all the spice girls came over for a dinner party and they dressed up in their old clothes especially for me,Sun May 03 02:06:43 PDT 2009,sammarshall20,2,NO_QUERY,2,2,0.8492691,1,positive,positive
says gianty oolll ddddooonnngggg,Sat Jun 20 03:23:46 PDT 2009,Astridawzki,0,NO_QUERY,0,0,0.5331901,1,negative,negative
hahah tell me gina why is that,Sat May 16 20:44:34 PDT 2009,robbbinnnn,2,NO_QUERY,2,2,0.5513047,1,positive,positive
yup i could use a break i know you could too sucks i only get one week vacation a year,Mon Jun 01 21:06:41 PDT 2009,Jae_1124,0,NO_QUERY,0,0,0.8418024,1,negative,negative
i think its all the fake foods amp chemicals weve made amp consume that have made so many people suffer for just breathing,Mon Jun 01 11:11:43 PDT 2009,chelliemo,0,NO_QUERY,0,0,0.840565,1,negative,negative
off to rehearsals,Thu May 14 03:11:58 PDT 2009,maanfara,2,NO_QUERY,2,2,0.69268113,1,positive,positive
running late but beautiful sunrise i hope its foretelling of the day have a good one,Mon Apr 20 05:19:02 PDT 2009,beckster94,2,NO_QUERY,2,2,0.86157393,1,positive,positive
its pretty disheartening how blue the map is looking,Fri Jun 05 08:40:00 PDT 2009,willwybrow,0,NO_QUERY,0,0,0.81105083,1,negative,negative
wow have funi wish i could go to the warped tour this summer but i cant i hope to see u in concert soon luv katelyn,Fri May 29 18:09:14 PDT 2009,ac4kc,0,NO_QUERY,0,0,0.8832678,1,negative,negative
finally in the bed after bein at work allllll effin night geesh my legs are throbbin,Sun May 17 03:36:09 PDT 2009,Melhunter0808,0,NO_QUERY,0,0,0.7713863,1,negative,negative
i live in oxford you and dougie should come and live here haha good luck for tonight btw wish i could come i dont,Fri Jun 05 09:32:59 PDT 2009,Rachhy,0,NO_QUERY,0,0,0.7328828,1,negative,negative
just finished watching my sons all star baseball team play parlier they lost big,Sat Jun 06 12:10:10 PDT 2009,InloveWithLaura,0,NO_QUERY,0,0,0.8723703,1,negative,negative
i want to bottle todays weather and keep it on file for july th brickyard dayjust beautiful clear blue sky and,Sun May 17 11:51:30 PDT 2009,WovenDimensions,2,NO_QUERY,2,2,0.8083167,1,positive,positive
just put my phone to charge after it died twitterfon did some optimization and now it has an ad,Sat May 30 00:50:05 PDT 2009,DannysUltimatum,0,NO_QUERY,0,0,0.62043303,1,negative,negative
ha the easiest names often cause the biggest probs rains for instance is apparently a killer to spell,Fri May 29 22:10:19 PDT 2009,lindarains,2,NO_QUERY,2,2,0.5719807,1,positive,positive
guess its time to go to work now at least its friday,Fri May 22 05:08:18 PDT 2009,TigMH,0,NO_QUERY,0,0,0.7807874,1,negative,negative
can finally get a phone that works in a few weeks,Mon Jun 15 04:16:11 PDT 2009,Jess_H336,2,NO_QUERY,2,2,0.867956,1,positive,positive
had a damn fine weekend working at wychwood and made some lovely new friends and had a nice long leer at gruff rhys,Tue Jun 02 04:41:42 PDT 2009,OhOkapia,2,NO_QUERY,2,2,0.8748516,1,positive,positive
i am supposed to sleep im going out tomorrow at am so deadzxzz,Sun May 31 11:56:05 PDT 2009,Farrahri,0,NO_QUERY,0,0,0.8685948,1,negative,negative
sorry false alarm youre my mr daaaaaaarcy and is your elizabeth bennet but ii should b ur eliza dont,Mon Jun 22 15:33:02 PDT 2009,georginaisback,0,NO_QUERY,0,0,0.5670648,1,negative,negative
is doing nothing studying actually,Tue Jun 02 16:44:52 PDT 2009,sofjb,0,NO_QUERY,0,0,0.7902328,1,negative,negative
morning its friday evening here,Fri Jun 05 15:39:52 PDT 2009,yellowscone,2,NO_QUERY,2,2,0.7653913,1,positive,positive
so distracted by twitter youtube when i reaaaaaaally should be studying for my double exam tomr ahh,Wed Jun 17 19:01:38 PDT 2009,elizzybee,0,NO_QUERY,0,0,0.6922484,1,negative,negative
if it gave up on either youd be fucked lol sorry ur having car trouble it makes life so depressing,Sun May 31 15:59:25 PDT 2009,lessthanthreeme,0,NO_QUERY,0,0,0.87233925,1,negative,negative
