text,date,user,sentiment,query,uncertainty_baseline
thats a sign youre an important amp crtical person right right thats what i tell myself anyway,Thu May 28 21:19:03 PDT 2009,DylanJobe,0,NO_QUERY,0.28110963
having a coopers extra strong vintage ale later is their best extra stout as i usually prefer the darker stouts amp porters small bottles,Sat May 02 22:48:41 PDT 2009,ilikemybeers,0,NO_QUERY,0.16282728
time to clean the house for my mom before she gets home from work,Sun Jun 07 13:11:19 PDT 2009,xMuSiCxFaNaTiCx,2,NO_QUERY,0.27367532
the traffic in motherwell this morning was bad you could not get a parking space for luv not money was good tho,Mon May 18 03:44:00 PDT 2009,margiepants123,2,NO_QUERY,0.21382916
i couldnt think of anything better to do,Mon Jun 01 00:27:20 PDT 2009,Sammyxlee,2,NO_QUERY,0.26116213
your a strange girllike me,Fri Jun 19 18:57:07 PDT 2009,jonatic96,0,NO_QUERY,0.15798023
im afraid the biggest impression that that made on me was to make me want some chocolates,Sun Jun 07 14:27:18 PDT 2009,beristwicke,2,NO_QUERY,0.2405537
sorry just saw that too well think about it but well also contact apple managing this via subscription is the correct way,Tue Jun 02 09:54:30 PDT 2009,aolmail,0,NO_QUERY,0.28821
i aint mad at her goooo momma,Sat May 30 07:59:12 PDT 2009,whiteblouse,2,NO_QUERY,0.22688928
and i hope you is really you internet is cool you never can be sure,Thu Jun 18 10:13:40 PDT 2009,Ex_vero,0,NO_QUERY,0.20026186
they have their headaches the morning after instead,Sun May 10 03:02:19 PDT 2009,DebbieBenstein,2,NO_QUERY,0.29985797
dan didnt pick up the stuff from andre photog today well pick em up later cant wait to see our wedding video album amp portrait,Fri Jun 19 09:58:46 PDT 2009,mojitayanipot,0,NO_QUERY,0.16693094
i mean ctrying xcode but rather bafled by it at the moment p i am used to pelles for ci seem to have lost terminal,Sun May 31 09:15:07 PDT 2009,LiliCosic,2,NO_QUERY,0.15926673
please give me a link to watch that,Sat May 30 20:28:56 PDT 2009,cecantique,0,NO_QUERY,0.19804545
i miss u guys and i miss complaining with u about how long our hair used b lol we still look fab tho,Fri Jun 05 12:32:17 PDT 2009,iheartPSU,2,NO_QUERY,0.29860508
good night everyone im going to sleep its am,Sun Jun 07 00:42:04 PDT 2009,timmy1234s,0,NO_QUERY,0.20761465
no animals were killed in the making of this film,Wed Jun 03 05:44:30 PDT 2009,johntmartin,2,NO_QUERY,0.23654494
lbs lost since feb still have a lot more to go,Thu May 28 21:38:25 PDT 2009,nanavette,2,NO_QUERY,0.16282436
about to leave to go home,Mon Jun 15 06:05:18 PDT 2009,majafck,2,NO_QUERY,0.18023194
i tried rock band and i just cant get the drums nobody wants me on their team for drums i kick butt at singing though,Sun Jun 07 08:18:31 PDT 2009,houdinisgirl,2,NO_QUERY,0.2721733
its friday its payday so im buggering off early,Fri May 29 08:06:03 PDT 2009,rubbishmonkey,2,NO_QUERY,0.2001117
i know,Wed Jun 03 06:40:41 PDT 2009,cartoonmoney,2,NO_QUERY,0.24842468
fk drop by topseoscom,Sun Jun 07 00:40:11 PDT 2009,webwoke,0,NO_QUERY,0.23975514
not even iphone with gold plated chassis,Fri May 29 18:48:10 PDT 2009,hash_iphone,2,NO_QUERY,0.24056685
i dont know about that according to wsyx were all going to die in the next hour or so,Mon Jun 01 19:50:16 PDT 2009,sbarton1220,2,NO_QUERY,0.20611109
cleaning the house doesnt that sound like super fun,Sat Jun 06 10:43:10 PDT 2009,hhphame711,0,NO_QUERY,0.29723737
i just got my first speeding ticket in about years,Sat Jun 20 17:49:56 PDT 2009,bentsinister,0,NO_QUERY,0.1742197
stfu suckaaaa,Fri May 29 20:35:16 PDT 2009,nikkieo,2,NO_QUERY,0.20675956
needs a coffee delivery service in co today we ran out of beans and we need our starbucks,Sat Apr 18 07:31:37 PDT 2009,YourWebChick,2,NO_QUERY,0.1529876
really wants to go to spilira this summer,Sun May 10 18:26:17 PDT 2009,marianne_brown,2,NO_QUERY,0.26225314
so now i get to read my chapters that i tried so hard not to read yesterday my day is going to be fun,Sat Jun 06 06:53:16 PDT 2009,zoebaugh,0,NO_QUERY,0.18492666
i took playing music for granted,Sun May 31 17:13:42 PDT 2009,Rentagirl08,0,NO_QUERY,0.18233706
johnny depp amp crew racked up a bill a resturant amp depp left a tip for the waitor do u think he did it on purpose or error,Thu Jun 25 03:52:29 PDT 2009,chinatheblack,0,NO_QUERY,0.15245338
thank u i think that pic was taken the week dj hut closed we have get up soon im goin georgiastateu in the fall,Tue Jun 23 22:04:33 PDT 2009,karmarocket,0,NO_QUERY,0.28774083
awe just looked on tvguide amp it says that the epesode of paula on kimmel is a rerun,Sun May 31 18:39:57 PDT 2009,4evaurgirl,0,NO_QUERY,0.253532
im ony my cell phone twitter fukkin up u mad,Sat May 30 19:54:13 PDT 2009,Juve803,0,NO_QUERY,0.26690304
just ateee plasticc of my icepop ewaas,Sat May 30 08:19:26 PDT 2009,alexaamcfly,0,NO_QUERY,0.27884352
is tuio gonna work with sketchup,Thu May 28 20:38:41 PDT 2009,touchaddict,0,NO_QUERY,0.23576199
miley cyrus really,Wed Jun 17 12:29:54 PDT 2009,dulcedreamer,0,NO_QUERY,0.19198267
gonna catch some zzzzs good night twits tomorrow is a day for enjoying with the person who gave birth to you your mom amp ap studying,Sun May 10 01:50:31 PDT 2009,Ezra_B,0,NO_QUERY,0.18185583
great my days just gotten worse,Mon May 18 00:00:36 PDT 2009,JazzBANGER,2,NO_QUERY,0.28115752
sorry theres none left ill share next time though,Sat Jun 06 18:40:19 PDT 2009,thepaperfairy,2,NO_QUERY,0.26909533
just because im losing doesnt mean im lost coldplay,Sun Jun 07 10:44:15 PDT 2009,baarbyy,2,NO_QUERY,0.22412196
working on a project due on tuesday blaaah,Sun Apr 19 04:47:48 PDT 2009,monadoghman,0,NO_QUERY,0.2033908
not my showgeneral hospital,Mon Jun 01 23:30:38 PDT 2009,cdsram24,2,NO_QUERY,0.29095837
gio i have a big problem i love marvin is so cute can i marry him xd,Mon Jun 22 16:56:15 PDT 2009,cony95,0,NO_QUERY,0.19953373
standing at red light,Sun Jun 21 00:53:53 PDT 2009,mad21185,0,NO_QUERY,0.2598318
lj is timing out when i try and reach the site yet lj status says all is good and the link to get to support tries to take you to lj,Sun Apr 19 08:50:15 PDT 2009,hiddenglitter,0,NO_QUERY,0.26340687
sakura max ps maxx bag psmh socloseeee,Sat May 02 01:55:46 PDT 2009,nlite,0,NO_QUERY,0.20669922
im freeezing,Wed Jun 03 08:06:25 PDT 2009,bebeatriz,0,NO_QUERY,0.17401895
says cold evening,Tue Jun 02 03:51:44 PDT 2009,utsche,2,NO_QUERY,0.21255577
im in la but limited internet connection for now,Sun Jun 14 23:56:12 PDT 2009,LisaTeh,2,NO_QUERY,0.2802217
