text,date,user,sentiment,query,uncertainty_baseline,uncertainty_sngp
excited for chassitys graduation,Wed Jun 03 04:15:41 PDT 2009,sarabrem321,2,NO_QUERY,0.026564106,0.103022724
single again i miss him areseros,Sun May 31 12:09:25 PDT 2009,Aries_J,0,NO_QUERY,0.09553616,0.17201656
so glad twilight won the mtv movie awards,Mon Jun 01 01:31:59 PDT 2009,xGLR,2,NO_QUERY,0.030476302,0.10764167
finally en twitter man crazy night last nightafter the minor accident my neck hurts so bad,Mon Jun 01 06:17:22 PDT 2009,teamoferforever,0,NO_QUERY,0.078248665,0.1828262
livechat with the jonas boys,Sat May 30 18:22:47 PDT 2009,almmma,2,NO_QUERY,0.050341006,0.11324907
naa thanks so much,Mon Jun 15 07:01:34 PDT 2009,yolie81,2,NO_QUERY,0.09352799,0.21174827
trying to get used to twitter i have a cold,Fri May 29 01:25:50 PDT 2009,Luke_Simpson666,0,NO_QUERY,0.05990088,0.14670342
the video is streaming again now there is no audio,Fri Jun 19 18:35:27 PDT 2009,ElementsOfJazz,0,NO_QUERY,0.07066616,0.12506972
cant believe im up amp awake at am not even working today,Wed Jun 24 22:30:10 PDT 2009,ssteph24,0,NO_QUERY,0.06803115,0.18451393
lollipops and rainbows whoo hoo,Sat May 02 13:18:10 PDT 2009,katherinehass13,2,NO_QUERY,0.056875177,0.17480463
lalalala ahlalala hv u evr heard this song itz so cool song i like it i feel so untouched,Sat May 30 18:26:09 PDT 2009,FallaRohmah,2,NO_QUERY,0.06353341,0.3429258
i still havent found the coffee machine,Sat Apr 18 14:14:07 PDT 2009,iGustavo,0,NO_QUERY,0.041641258,0.14126413
haha tan bella y a that sounds cute,Sun May 17 18:44:46 PDT 2009,xelac00kie,2,NO_QUERY,0.06637972,0.17592074
have to get an ultrasound tomorrow very nervous,Wed Jun 24 22:14:03 PDT 2009,roguesnoopy,0,NO_QUERY,0.0878791,0.15328808
i wanna go on packing but i dont want to ugh im so complicated,Sat Jun 20 21:41:38 PDT 2009,beehannah,0,NO_QUERY,0.07960702,0.11232637
lt thts me cryin lol,Fri May 29 18:33:40 PDT 2009,MrzSp0ng3b0b,0,NO_QUERY,0.09985838,0.25728887
the weather changed headache,Thu Jun 25 08:20:18 PDT 2009,Tallis33,0,NO_QUERY,0.09953469,0.10578682
is coming up with new ways to make the moolah,Tue Jun 02 21:26:21 PDT 2009,BarkBoutique,2,NO_QUERY,0.058419544,0.16047198
amp dont take too much of what im saying very seriously right now i lost our team the lacrosse game and im very tired,Fri Jun 19 21:27:07 PDT 2009,mydilemma27,0,NO_QUERY,0.07927838,0.22714114
oh haha thanks how sweet of you,Sat Jun 06 17:21:33 PDT 2009,ERINisBEASTLY,2,NO_QUERY,0.07185445,0.1388874
after you buy me a new foot pedal mine broke,Thu Jun 18 11:06:27 PDT 2009,sajeh,0,NO_QUERY,0.07141775,0.32842112
get followers a day using once you add everyone you are on the train or pay vip,Sun Jun 07 01:08:09 PDT 2009,tweeteradder13,2,NO_QUERY,0.043460153,0.10570659
i just love this picture,Mon Jun 01 13:09:46 PDT 2009,roleeta,2,NO_QUERY,0.07719525,0.18631323
daydreaming about our house so excited to have moved in this weekend,Mon Jun 01 08:35:03 PDT 2009,jaclynyoung5,2,NO_QUERY,0.083495,0.19319037
diversity won yayyyyyyy,Sun May 31 03:00:24 PDT 2009,Sammyjo27,2,NO_QUERY,0.06813279,0.2420049
yay more friends on twitter,Mon Jun 01 22:39:44 PDT 2009,tuan3789,2,NO_QUERY,0.05230464,0.12161246
im the hungry one and she doesnt share very well,Mon Jun 15 15:36:25 PDT 2009,flirtygreekgirl,0,NO_QUERY,0.075754315,0.21958196
getting ready to go to the bowling alley with my besties,Fri Jun 05 16:30:49 PDT 2009,sarahhcyanide,2,NO_QUERY,0.042499673,0.11745237
new member hehe,Sun Jun 07 01:16:13 PDT 2009,xartreuse,2,NO_QUERY,0.02787126,0.15304811
hello to all the apfellows vancouver is soooo nice,Sun Jun 07 20:37:37 PDT 2009,Farzmeister,2,NO_QUERY,0.02785612,0.11758998
heard tees interview on radio nz time flew,Sat Jun 06 15:05:50 PDT 2009,jeanettemarsh,2,NO_QUERY,0.07780646,0.33799475
good luck friend if i found something so will u too,Sun Jun 14 22:59:51 PDT 2009,Madgelova,2,NO_QUERY,0.08269495,0.22939998
hahaha thats one of my favorite quotes,Mon Jun 15 18:34:06 PDT 2009,laurenbrynn,2,NO_QUERY,0.07213448,0.14447525
thanks to for the props and reblip,Wed Jun 03 10:21:13 PDT 2009,SongoftheOss,2,NO_QUERY,0.053390615,0.11706163
tapping my foot to the beat of some funky tunes while out at de young the alcohol is flowing the music is jumping and im smiling,Fri Apr 17 21:16:56 PDT 2009,cristinalynn,2,NO_QUERY,0.057777178,0.14138725
so tired dreading waking up at am,Sun May 17 23:39:18 PDT 2009,kelsy77,0,NO_QUERY,0.069458224,0.13943923
keep an eye out for their new bengal ipa as well as the golden dragon strong celtic ale,Tue Jun 16 04:36:04 PDT 2009,Slowbeer,2,NO_QUERY,0.043342277,0.11544138
very excited about the volunteer work im getting myself into i can say i have big dreams and im very excited for my future finally,Sun Jun 07 13:31:24 PDT 2009,cestlavie1234,2,NO_QUERY,0.053151235,0.19263712
that link wasnt working for me,Sun May 31 03:50:50 PDT 2009,Ingenue_Em,0,NO_QUERY,0.07113929,0.28355873
oooh what a purty day,Sat May 02 06:42:55 PDT 2009,toniriales,2,NO_QUERY,0.08098705,0.46611795
at chilis nom nom nom,Sun Jun 07 14:50:56 PDT 2009,CourtneyAnnCoCo,2,NO_QUERY,0.06352634,0.25204659
waiting for my beautiful appointment,Fri May 22 04:36:35 PDT 2009,julienhenzelin,2,NO_QUERY,0.039480545,0.12750986
medication for your eye i sorry,Mon May 18 06:31:43 PDT 2009,vieshnavi,0,NO_QUERY,0.08897731,0.11529198
thanks ive made the person looking aware that they need to get in touch with those who are using the iphonefreelance hashtag,Wed Jun 03 04:11:47 PDT 2009,girlygeekdom,2,NO_QUERY,0.09243371,0.18817237
tweets about davids concert promo makes me sad too argh fearless more promos please they should hire us,Sun May 03 06:59:05 PDT 2009,feeshda,0,NO_QUERY,0.08873237,0.18544684
am leaving today,Fri Jun 05 16:42:52 PDT 2009,ge21,0,NO_QUERY,0.08724216,0.21418479
happy polish childs day everyobody,Mon Jun 01 07:56:45 PDT 2009,pokkuru,2,NO_QUERY,0.06207036,0.16105041
el enlace a cnn me dio page not found,Tue Jun 02 09:12:20 PDT 2009,boxsociety,0,NO_QUERY,0.09736374,0.19730875
finally home and with my friends and especially steph p,Sat May 30 16:54:02 PDT 2009,Jessm531,2,NO_QUERY,0.043302216,0.1438987
haha be careful what you tweet as somebody with follow you for the oddest things you say,Sun May 31 05:53:19 PDT 2009,piginthepoke,2,NO_QUERY,0.047282085,0.18525676
its true if u watch if u can plz commentrate it tell me what u think of it its appreciated,Sat Jun 06 17:01:08 PDT 2009,LiveLaughDream8,2,NO_QUERY,0.06367329,0.16510238
thailand jykthemuse has added a photo to the pool mmm me love currrrrrry nikon fe nikkor,Mon Jun 01 05:23:43 PDT 2009,vladowskyrecipe,2,NO_QUERY,0.083179794,0.22680289
mouth full of mini mint ice cream mouthfuls hope you are enjoying your friday night,Fri May 29 21:21:37 PDT 2009,LetMeEatCake,2,NO_QUERY,0.06932719,0.1459831
why thank u very kind of you to suggest me am just having a break but will do mine soon followfriday,Fri May 22 02:51:37 PDT 2009,felicityfuller,2,NO_QUERY,0.07770261,0.21826878
so what are you up to,Sun May 17 10:32:25 PDT 2009,themandycat,2,NO_QUERY,0.08698487,0.26059544
i wanna sleep some more i dont want to go to work today,Thu Jun 18 05:44:34 PDT 2009,hotzb22,0,NO_QUERY,0.06722421,0.10222809
dont challenge me after coronas amp shots of grey goose im confident as ever sir,Mon Jun 01 18:00:23 PDT 2009,S_Wash,2,NO_QUERY,0.050229434,0.23384973
watching tv with the best people in the whole world my mum and my sis agus love you all twitter you later ha,Sat May 09 20:31:04 PDT 2009,MelinaPlaza,2,NO_QUERY,0.050319478,0.12059229
is this really the best use of my time must make the action list for monday bye tweeps have fun,Sun May 31 18:06:23 PDT 2009,sueyoungmedia,2,NO_QUERY,0.040093247,0.13115951
xbox live is now down for maintenance also ghostbusters is apparently out tonight i wont be getting it for a while unfortunately,Tue Jun 16 00:15:07 PDT 2009,Superman64,0,NO_QUERY,0.09961019,0.222889
happy birthday i hope youre doing something special,Mon Jun 15 10:59:30 PDT 2009,llamadrama,2,NO_QUERY,0.05586219,0.11112588
is twitteringloves my twitter world,Fri Jun 05 22:56:40 PDT 2009,Wulandariw,2,NO_QUERY,0.09511872,0.29810083
hahaha its stones like turquoise amp onyx ive had this bracelet for forever im sad its looking toothless right now,Fri Jun 19 08:30:00 PDT 2009,theaofa,0,NO_QUERY,0.04853739,0.12997732
hi guys is now at has been posting there since having probs with his account peace,Mon Jun 01 16:09:26 PDT 2009,dogzero,2,NO_QUERY,0.071431115,0.23320246
dancing taking pics etc all sorts of fun,Sat Jun 06 23:45:24 PDT 2009,Az1568,2,NO_QUERY,0.028794229,0.15615344
am i the only persons in the uk that upgraded to os and didnt get some of the features no mms etc,Thu Jun 18 05:12:10 PDT 2009,DanRogueMumford,0,NO_QUERY,0.09889163,0.1754525
watching zoey is so cool,Sun May 17 01:45:49 PDT 2009,carmensmiles,2,NO_QUERY,0.029834867,0.10576664
everyone follow gt hes a nice chocolate brotha,Fri May 29 10:00:46 PDT 2009,DNiCESEOUL,2,NO_QUERY,0.046340615,0.14399387
i just saw the trailer for new mooni am counting down the dayyyyyyys i love it when jacob phases into the wolf,Mon Jun 01 16:33:28 PDT 2009,BritPen10,2,NO_QUERY,0.050566267,0.22572678
scared for cammi because she will be lonely without another dog and that wont be good for her health,Tue Jun 02 05:59:38 PDT 2009,slurringrhythms,0,NO_QUERY,0.09770552,0.12090746
infographics can be cool ad this one is one of my favs if you need more,Sat Jun 06 19:06:30 PDT 2009,moses,2,NO_QUERY,0.04054374,0.13263716
swimming was fun today i love my new suit,Mon Jun 15 14:29:39 PDT 2009,secretagentmama,2,NO_QUERY,0.04163085,0.13375655
get followers a day using once you add everyone you are on the train or pay vip,Mon Jun 15 14:04:42 PDT 2009,tweeteradder15,2,NO_QUERY,0.043460153,0.10570659
my hair is so big n sexy today love it lunch time,Tue Jun 02 13:35:15 PDT 2009,theeeHBIC,2,NO_QUERY,0.06876087,0.23442808
have a great nite,Mon Apr 20 00:13:08 PDT 2009,sosweetambie,2,NO_QUERY,0.045169536,0.12920167
ok thanks,Fri May 29 21:25:27 PDT 2009,xjkradicoolx,2,NO_QUERY,0.054500706,0.11428931
happy moms day my mommy friends im spending the day w my mom shoppingeating amp just being girls,Sun May 10 10:04:30 PDT 2009,ghostlover26,2,NO_QUERY,0.031341564,0.16795543
i dont want to go to camp this year,Sun Jun 07 05:48:29 PDT 2009,digophelia817,0,NO_QUERY,0.057274286,0.13804816
had a damn fine weekend working at wychwood and made some lovely new friends and had a nice long leer at gruff rhys,Tue Jun 02 04:41:42 PDT 2009,OhOkapia,2,NO_QUERY,0.0841512,0.37898666
perfecto thanks so much,Fri May 29 01:17:45 PDT 2009,limeice,2,NO_QUERY,0.064774185,0.14482678
sorry to hear that toots my bf has been fired for awhile always sucks,Mon Jun 15 16:01:49 PDT 2009,alice_malice,0,NO_QUERY,0.078031346,0.122174114
redev of euston sq outside station looks good lots nice eateries but seems starbucks is gone,Tue Jun 02 01:32:34 PDT 2009,EGNadiaElghamry,0,NO_QUERY,0.08348275,0.3205338
not super important but still wahinducing where are my akira and my neighbor totoro dvds i cant find them anywhere upstairs,Sun May 10 18:55:16 PDT 2009,MercuryZelda,0,NO_QUERY,0.08360076,0.1500252
new phone so happy on my way to my bros house to eat dindin and watch the laker game,Fri May 29 19:02:16 PDT 2009,lalissielove,2,NO_QUERY,0.03173166,0.10023009
thank you so much yes you can tweet or they usually check twitter more often,Tue Jun 02 20:53:54 PDT 2009,forensicmama,2,NO_QUERY,0.08343031,0.1102129
omgosh davids in the trending topics now,Wed May 13 23:21:23 PDT 2009,CandiceKei,2,NO_QUERY,0.085642494,0.42132378
is off to play wow,Wed Jun 03 09:02:02 PDT 2009,DinaAIE,2,NO_QUERY,0.046563175,0.14095354
lots of huge server cabinets full of hotswappable drives have arrived in the warehouse this week all very modern thanks mr c,Fri May 22 02:20:50 PDT 2009,JamiesComputers,2,NO_QUERY,0.094215244,0.29019833
gossip girl tonight,Mon Jun 01 23:38:34 PDT 2009,Staceeeeey,2,NO_QUERY,0.0879299,0.36579937
morrow is my big daymy birthday,Fri May 01 22:51:12 PDT 2009,Fashion_Ruhae,2,NO_QUERY,0.067455314,0.21753812
well im off to cleanyep it never ends tweet soon,Sun May 31 17:44:22 PDT 2009,Gemleo25,2,NO_QUERY,0.09559069,0.51534927
so bummed i am actually in chicago this weekend but cant go to your show tonight sorry,Fri Jun 19 13:48:22 PDT 2009,scottheisel,0,NO_QUERY,0.07446108,0.14090939
eating chefboyardeethis reminds me of,Sun May 31 15:59:56 PDT 2009,JoJo_sheGOTit,2,NO_QUERY,0.06662582,0.2510924
dang rocks i had one chance to see him with my wife years ago and the show was cancelled cuz he was sickhad nd row,Thu Jun 18 16:55:47 PDT 2009,billpetrin,0,NO_QUERY,0.06849729,0.15311833
great idea i have just bought some credits,Mon Jun 15 08:29:02 PDT 2009,icklemedia,2,NO_QUERY,0.029718706,0.11275246
hanging out listening to s cd kidding me this kid is amazing you impress me more and more each day,Sat Jun 06 15:40:22 PDT 2009,AlBCraze,2,NO_QUERY,0.037477203,0.13288382
i am dancing to music and relaxing after a great party last night looking forward to goin watch stoke today come on you mighty potters,Sat May 02 04:47:16 PDT 2009,Djdayo44,2,NO_QUERY,0.034634646,0.10194512
hey thank you so much not many kids like me so that means a lot,Fri May 29 23:16:20 PDT 2009,RadioStarGirl,2,NO_QUERY,0.08307614,0.29643768
i love st ives the barbara hepworth sculpture garden is one of my fave places in the world,Mon Jun 01 05:25:44 PDT 2009,FoodStories,2,NO_QUERY,0.058028188,0.20448521
does anyone know where i can watch the prison break tv movie its not on itunes,Fri May 29 11:42:45 PDT 2009,Lottylou,0,NO_QUERY,0.07372622,0.19718148
four words ive been dreading quotbreaking badquot season finale its a sad night for all of us who love this amc show,Sun May 31 19:02:05 PDT 2009,bonbar,0,NO_QUERY,0.06777687,0.20360567
haha thank you kina lt made my day,Sat Jun 06 05:39:08 PDT 2009,sarahlouisemcm,2,NO_QUERY,0.04943211,0.120846525
at the post office still no g on my lx,Sat Jun 06 07:17:15 PDT 2009,pkid777,0,NO_QUERY,0.056904938,0.19823395
now im looking at various options for new mailboxes,Tue Jun 02 07:04:30 PDT 2009,dragonjaze,2,NO_QUERY,0.093298346,0.18690193
the pleasure is all mine hope you did get some traffic from my pointers ill be translating it for in june,Mon May 18 04:59:19 PDT 2009,dingstweets,2,NO_QUERY,0.057087615,0.24554765
there is something quite zen about lacing up box fresh sneakers,Tue Jun 16 04:03:46 PDT 2009,geetz26,2,NO_QUERY,0.07361808,0.30045757
welcome anyway,Fri May 22 05:18:38 PDT 2009,Eruyome,2,NO_QUERY,0.03924825,0.10446561
the people invited amp will be there is just these amp im happy,Tue Jun 16 02:44:35 PDT 2009,SoAkemi,2,NO_QUERY,0.036365047,0.109033614
dance was good but i feel broken,Fri May 29 18:46:35 PDT 2009,dancerbabe133,0,NO_QUERY,0.042318076,0.115966685
playing xbox demos w bobby i dont want to study lr,Mon Jun 22 11:14:05 PDT 2009,NFkids,0,NO_QUERY,0.07454549,0.29517606
out for a run then more fun by the lake,Mon Jun 01 06:24:16 PDT 2009,kutlessgirl,2,NO_QUERY,0.048755668,0.20216027
listening to the spice girls greatest hits ontd ontd,Sat May 30 23:13:45 PDT 2009,jameswhitaker,2,NO_QUERY,0.058006525,0.1001755
see it wayyyy worth the money,Sun Jun 07 15:44:09 PDT 2009,CSSVT,2,NO_QUERY,0.05963358,0.18184206
rain all week,Mon Jun 15 05:56:18 PDT 2009,syncing_gfx,0,NO_QUERY,0.09861996,0.13429755
hehe give me a hintwho are you,Tue Jun 02 23:03:26 PDT 2009,BritanyMay,2,NO_QUERY,0.049406357,0.19231367
i miss holidays tests this week,Tue Jun 16 05:21:52 PDT 2009,lovelynicola,0,NO_QUERY,0.06956151,0.1059808
the air france thing is freaky did it fly over the bermuda triangle big plane just gone sad,Mon Jun 01 09:59:47 PDT 2009,jessicasharrah,0,NO_QUERY,0.04608796,0.12269775
damn im watchin man vs food and theyre in my hometown chicago showin an italian beef sandwich damn i miss home dallas food sucks,Wed Jun 17 18:35:21 PDT 2009,evelinamonroe,0,NO_QUERY,0.057221353,0.15938605
hello monday amp the start to another busy beaut of a week im ready to take you on here we gooooo,Mon May 18 05:13:14 PDT 2009,ksenija,2,NO_QUERY,0.033235338,0.14777535
im at rangi yup im good weekend time yeah,Fri May 22 03:55:58 PDT 2009,tessa_f,2,NO_QUERY,0.083544895,0.27333587
her tweets are just tweetness followfriday please follow she has a twitter cruise coming up too,Fri May 29 09:14:26 PDT 2009,Lenaistewart,2,NO_QUERY,0.040910736,0.22844715
has to work on mothers day,Sun May 10 06:48:01 PDT 2009,leeleebangs,0,NO_QUERY,0.071455814,0.16747534
is watching the game on bet still pissed it was cancelled,Sat May 30 12:59:56 PDT 2009,simplebutterfly,0,NO_QUERY,0.09773411,0.21774955
thank you my soul is smiling,Sun Jun 07 01:49:44 PDT 2009,belikemikee,2,NO_QUERY,0.049575042,0.10102014
europe according to estonians well hehe,Tue Jun 02 04:31:41 PDT 2009,tajur,2,NO_QUERY,0.06681085,0.30821082
looks like i dont qualify for iphone gs upgrade pricing until,Wed Jun 17 12:53:05 PDT 2009,neonzebra,0,NO_QUERY,0.06625842,0.19949521
when i say im really sad about the puppet commercialsi really amthose commercials are gonna leave a void in me like lil penny,Sat May 30 20:04:01 PDT 2009,eleven8,0,NO_QUERY,0.097962014,0.15372717
im sorry they did not show the pack in the nm trailer i was looking ward to seeing all of u nov is so far away,Sat Jun 20 13:22:53 PDT 2009,avanzyl29,0,NO_QUERY,0.05266236,0.15269288
ben amp jerrys americone dream ftw lt eat it and allow it to rock your world,Fri May 29 20:03:20 PDT 2009,HollandKitty,2,NO_QUERY,0.053894855,0.15344411
excellent and i shall haul out the coffee machine,Mon Jun 15 03:28:01 PDT 2009,cow_grrrl,2,NO_QUERY,0.0932418,0.20974937
am hot kitchen all day until pm i miss freckles argh day,Mon Jun 15 03:48:22 PDT 2009,thrashinstein,0,NO_QUERY,0.052690458,0.14403999
atta boy stick it to em install itunes and quicktime while your at it nice slooow take over,Wed Jun 03 04:54:02 PDT 2009,JCTurner,2,NO_QUERY,0.09474913,0.1914647
i went to your house yesterday before my flute lesson but no one answered the door then i couldnt get the letter box open,Thu Jun 25 03:35:58 PDT 2009,Nainx,0,NO_QUERY,0.052450724,0.11807696
nothing to do with the night out unfortunately had a headache for days now,Sun May 31 02:01:16 PDT 2009,hannahpoulton,0,NO_QUERY,0.067582294,0.18475273
running a gcd of a sample and twittering,Tue Jun 16 08:14:33 PDT 2009,viktoriameadowz,2,NO_QUERY,0.03604542,0.12708706
getting a lot of rest bc i dont want to get sick,Sun May 03 20:25:51 PDT 2009,mich28,0,NO_QUERY,0.09453748,0.1777688
mmm going to a meeting at a wine farm tomorrow in stellenbosch yum,Tue Apr 07 02:33:48 PDT 2009,swingtag,2,NO_QUERY,0.08330759,0.247406
thanks shes super awesome,Sun May 31 18:30:43 PDT 2009,VNessa22,2,NO_QUERY,0.031846616,0.100229084
mmmmmm youre speaking my language,Sat May 30 10:29:57 PDT 2009,publius772000,2,NO_QUERY,0.08190607,0.2695076
robotpickuplines is that a trojan in your pc or are you just happy to see me,Fri Jun 05 17:33:20 PDT 2009,arlyn613,2,NO_QUERY,0.04177692,0.1482541
yes charismatic indeed he puts on quite a show,Sat May 16 21:40:09 PDT 2009,anomalist,2,NO_QUERY,0.057265416,0.20509878
congratulations on passing your test we should go out and celebrate,Tue Apr 21 03:41:33 PDT 2009,4SeasonsCreate,2,NO_QUERY,0.07248879,0.10109155
just bought michael caine narrating quotifquot by kipling on itunes,Mon Jun 15 20:53:22 PDT 2009,j_wolf,2,NO_QUERY,0.03046757,0.13405968
stayin over at dustins tonight my car hates me,Fri May 29 01:05:52 PDT 2009,mieeeek,0,NO_QUERY,0.06804117,0.13178252
presentation finally done yay now hitting the showers and off to find a bday cake,Sun Jun 07 00:58:03 PDT 2009,snookie,2,NO_QUERY,0.05635795,0.19657233
yes will see you there,Sat May 30 13:35:24 PDT 2009,BengoliBeauty,2,NO_QUERY,0.059980802,0.13529411
a i miss saturday morning kids tv xx,Fri May 22 04:27:22 PDT 2009,lovelylaura1982,0,NO_QUERY,0.05531388,0.15509626
hugs whats wrong hun,Mon Jun 15 19:01:32 PDT 2009,oinkd,0,NO_QUERY,0.07241357,0.20760712
quotthe new german single from the jonas brthers lavattquot jb live chat,Sat May 30 11:54:35 PDT 2009,woahhpheobee,2,NO_QUERY,0.052805014,0.14087033
lol a bit of a dark humor heh,Fri May 29 20:29:38 PDT 2009,selvinortiz,2,NO_QUERY,0.07438605,0.39838666
eww i really dont like driving in the rain,Wed Jun 17 07:36:09 PDT 2009,kenyalove17,0,NO_QUERY,0.054880075,0.14572304
happy birthday nong pear love u hope ur having a beautiful day lt,Mon Jun 15 10:08:53 PDT 2009,grumali,2,NO_QUERY,0.08049504,0.1645127
happy mothers day i love you,Sun May 10 05:53:18 PDT 2009,jimkirk,2,NO_QUERY,0.09547372,0.183435
the silva fight was not what i expected over all ufc a let down,Sat Apr 18 21:52:32 PDT 2009,cndycream,0,NO_QUERY,0.04254078,0.18947887
had a good workout now chillin,Tue Apr 21 02:21:46 PDT 2009,Prettynpink314,2,NO_QUERY,0.0458246,0.16236605
dad has been gone about years and i still miss him,Sat Jun 20 21:50:05 PDT 2009,Ms_DH,0,NO_QUERY,0.053651832,0.10550842
hearing about an open source project where i could be cool and finally use libevent,Thu Jun 04 10:53:59 PDT 2009,cowsandmilk,2,NO_QUERY,0.04597071,0.15755895
honestly i really love it ive always been a fl girlbut i am loving the nature the people and the good food,Mon Jun 15 08:48:29 PDT 2009,Cacity87,2,NO_QUERY,0.05959886,0.21905872
aww thats awesome are the boys nice,Sat May 30 02:21:06 PDT 2009,pressrecordmag,2,NO_QUERY,0.04422576,0.16167547
watching obsessed with my girlfriends haha,Fri May 01 22:20:55 PDT 2009,le0nard,2,NO_QUERY,0.07391422,0.13610162
setting up for kick a cure,Sat May 02 07:53:08 PDT 2009,BClaflin,2,NO_QUERY,0.08066591,0.2622623
cat lounge is on voltaire and catalina great dive i miss obpl,Sun Jun 14 22:53:45 PDT 2009,smfisher,0,NO_QUERY,0.09298791,0.34095293
is happy chuck got renewed whohoooo gooooood morning campers btw p,Mon May 18 02:17:18 PDT 2009,Dine7184,2,NO_QUERY,0.04421728,0.14185089
i wish i didnt eat my icccecream soo fast,Sat May 30 19:46:16 PDT 2009,RayleneRobinson,0,NO_QUERY,0.07001387,0.119213186
ah that toasted cheese sandwich really hit the spot,Sun Jun 07 05:20:46 PDT 2009,Heyitsmeh,2,NO_QUERY,0.08080366,0.24716848
get followers a day using once you add everyone you are on the train or pay vip,Fri Jun 05 22:54:59 PDT 2009,tweeteradder6,2,NO_QUERY,0.043460153,0.10570659
the crowd was very energetic n friendly i was runnin all over the stage it was fun wud luv to have concert here,Thu May 28 20:50:23 PDT 2009,cocolee117,2,NO_QUERY,0.09044846,0.37098113
ouch,Sun May 31 18:41:46 PDT 2009,callunax,0,NO_QUERY,0.037419863,0.1605902
cheers to that,Mon Jun 01 23:28:40 PDT 2009,Kangarookiller,2,NO_QUERY,0.022671714,0.10358912
at charles with the power out lol damn savemart lost power and we could not buy beer,Thu May 28 23:25:01 PDT 2009,Craz_Monkay21,0,NO_QUERY,0.084883265,0.14094529
using tweetie and omfg i love it,Mon Apr 20 04:03:39 PDT 2009,hyprnova,2,NO_QUERY,0.060085624,0.13555655
did you ask jacky yet yayayaya im stoked,Sat May 30 21:53:34 PDT 2009,aznJaime,2,NO_QUERY,0.07618113,0.30488282
those moments are great things to treasure,Fri May 29 08:38:26 PDT 2009,Eyglo,2,NO_QUERY,0.03502777,0.11826843
is determined to beat every mission in goldeneye on agent and unlock settings,Fri Jun 05 14:53:17 PDT 2009,corneliusrose,2,NO_QUERY,0.07072621,0.13526992
excellent photoshop installed successfully now for dinner x,Sun May 17 11:48:39 PDT 2009,tobyw7,2,NO_QUERY,0.041226216,0.10332249
yep let us know when your photo shoot comes out,Fri May 29 19:34:44 PDT 2009,AnitaSimons,2,NO_QUERY,0.055001557,0.12712668
ive got a bruise on the middleback of my left thigh i have no idea how i got it but it makes sitting on hard chairs hurt,Mon Jun 15 09:02:21 PDT 2009,Daisydust,0,NO_QUERY,0.07329056,0.12334542
party tonight wine is the name of the game a lot of game,Sat Jun 06 16:27:00 PDT 2009,MandyBu,2,NO_QUERY,0.091738336,0.26510254
so farming low level herbs is boring,Sat May 16 20:59:36 PDT 2009,_anea,0,NO_QUERY,0.08048816,0.17774189
one of my friends just called me out she asked me why i was home on a friday night and i told her im old and cant hang anymore,Fri May 29 21:57:14 PDT 2009,iaagustin,0,NO_QUERY,0.06974333,0.2680092
loving having my lie in today thank god for long weekends,Fri May 22 04:03:56 PDT 2009,dublinblondie,2,NO_QUERY,0.08133554,0.2081838
i am here to make friends real life internet what ever level people are comfortable with,Sat May 09 18:15:47 PDT 2009,Djalfy,2,NO_QUERY,0.054528844,0.20167428
