text,date,user,sentiment,query,uncertainty_sngp
no although she was awesome i already have too many here she needed a good home where she could be queen,Thu Jun 25 09:12:36 PDT 2009,K_MacFarlane,0,NO_QUERY,0.69322133
im so tired im so paranoid cuz my dad said quotthis is your last day of relaxingquot and i looked at the schedule i have intense volleyball,Sun Jun 21 06:20:45 PDT 2009,DaniellaFTW,0,NO_QUERY,0.6068945
wisdom teeth out today would rather die,Tue Jun 16 08:42:38 PDT 2009,GloomyJenMen,0,NO_QUERY,0.65485746
it was sad but the ending was nice i love how the pictures were placed,Wed Jun 17 19:55:50 PDT 2009,Emiilyy,0,NO_QUERY,0.6910323
oh boy its gonna be one of those days again,Thu Jun 18 09:57:11 PDT 2009,Shauntastic,0,NO_QUERY,0.67861325
we seem to have three extra tickets for the oasis blokefest a week on friday anyone want them dm me or whatever,Mon Jun 01 02:03:56 PDT 2009,webstl,2,NO_QUERY,0.68491673
i hear cats fighting outside how come i never see awesome stuff like that when im actually outside,Tue Jun 16 00:00:07 PDT 2009,matto_dingo,0,NO_QUERY,0.6600062
drive fast when works finished want you to come home feel really ill in an actual imighthaveavirus way,Thu Jun 25 06:49:47 PDT 2009,June_Bear,0,NO_QUERY,0.63514423
she didnt know about the kitty so were safe she has a dog she loves and a fish she adores it was more me,Tue Apr 07 08:25:41 PDT 2009,EvelynErives,2,NO_QUERY,0.6100591
i cant wait til adree turns last left,Sun Jun 07 13:52:10 PDT 2009,NezValenzuela,2,NO_QUERY,0.6689406
at least were dying together suhweet xd,Sun Jun 07 04:12:32 PDT 2009,iAd0rkable,2,NO_QUERY,0.6910361
not really the house drummer is there every week but sometimes other drummers show up not this time but it will happen,Mon May 11 22:48:17 PDT 2009,TySeale,2,NO_QUERY,0.69731057
i heard that was considering eating her grasshoppers,Sun May 17 23:12:21 PDT 2009,shih_wei,2,NO_QUERY,0.6430914
no its confirmed the dates not set yet but it will be near utrecht,Tue Jun 16 06:50:47 PDT 2009,xxAnouk,2,NO_QUERY,0.69756484
what should i do today i think ill ride to the shops and get a smoothie then walk my dog what a boring day,Fri Jun 19 18:02:33 PDT 2009,sophie267,0,NO_QUERY,0.6869836
i want a new bedrepaint my room get a proper bookshelf etc,Wed Jun 17 23:53:57 PDT 2009,meing,0,NO_QUERY,0.60150427
gahhh hiccups,Fri Jun 05 21:39:01 PDT 2009,SamiCappola,0,NO_QUERY,0.68135285
isss in topeka kansas and leaving back for texass tomorrow morning,Sat Jun 20 11:50:59 PDT 2009,AlwaysWright2,0,NO_QUERY,0.6170391
why dont things open early so i can get stuff done,Fri May 22 06:44:45 PDT 2009,saegizi,0,NO_QUERY,0.6060718
hmmm you might be right but i want reaaal uplifting trance,Sat Apr 18 09:56:59 PDT 2009,djcodey,2,NO_QUERY,0.69139266
you still on if you were here i really need a hugg,Fri Jun 19 20:19:33 PDT 2009,_CatherineElyse,0,NO_QUERY,0.65189546
pj stock kelly hrudey gtgt mike milbury pierre mcguire no contest cbc is yummier for once,Sat May 02 10:53:14 PDT 2009,magicmittens,2,NO_QUERY,0.68968856
glad life isnt a chatroom because then we would all be horny creepy rude and fat,Sun Jun 14 23:40:00 PDT 2009,tpark18,2,NO_QUERY,0.69583404
the adrenaline rush while trying to get it,Thu May 28 23:04:45 PDT 2009,ichigo_han,2,NO_QUERY,0.6989647
i just got home,Sat Apr 18 22:27:24 PDT 2009,TereWontStop,2,NO_QUERY,0.6526702
i got a speeding ticket in a mph,Sat Jun 20 20:52:21 PDT 2009,luluhears,0,NO_QUERY,0.65789115
agreed which is why so unethical for schools to use classroom for indoctrination teachers did that me since grd school,Sun May 03 08:50:31 PDT 2009,reverielarke,0,NO_QUERY,0.6657156
is so happy that it is the last day of classes but more days of exams,Wed Jun 03 04:01:30 PDT 2009,sasha123456789,2,NO_QUERY,0.6963271
says gianty oolll ddddooonnngggg,Sat Jun 20 03:23:46 PDT 2009,Astridawzki,0,NO_QUERY,0.6933001
hahah tell me gina why is that,Sat May 16 20:44:34 PDT 2009,robbbinnnn,2,NO_QUERY,0.6918223
off to rehearsals,Thu May 14 03:11:58 PDT 2009,maanfara,2,NO_QUERY,0.6269131
just put my phone to charge after it died twitterfon did some optimization and now it has an ad,Sat May 30 00:50:05 PDT 2009,DannysUltimatum,0,NO_QUERY,0.66588885
ha the easiest names often cause the biggest probs rains for instance is apparently a killer to spell,Fri May 29 22:10:19 PDT 2009,lindarains,2,NO_QUERY,0.68699825
sorry false alarm youre my mr daaaaaaarcy and is your elizabeth bennet but ii should b ur eliza dont,Mon Jun 22 15:33:02 PDT 2009,georginaisback,0,NO_QUERY,0.6860415
so distracted by twitter youtube when i reaaaaaaally should be studying for my double exam tomr ahh,Wed Jun 17 19:01:38 PDT 2009,elizzybee,0,NO_QUERY,0.6203748
shut up no seriouslyi said justin who is jj so i didnt really repeat lolso i called himthanks for understanding,Sun Jun 07 11:00:40 PDT 2009,JBnVFCLover786,2,NO_QUERY,0.6963815
eh ill be a bit lateish can you send our surveys for printing copies,Wed Jun 03 00:21:40 PDT 2009,kiryne,2,NO_QUERY,0.6318705
youre coloring your hair pinkor did you just want to know what you were doing wrong with your application,Sat Jun 06 23:45:41 PDT 2009,tobint,2,NO_QUERY,0.6721277
im surprised you didnt find my post to be sarcastic im with you i didnt take it the wrong way quotshaaaaaaaawdyquot,Sat May 30 16:22:18 PDT 2009,KidCalloway,2,NO_QUERY,0.6785346
twitter is addicting tho xx,Sun May 31 02:42:38 PDT 2009,Rebekah_McFly,2,NO_QUERY,0.6236542
i couldnt comment yesterday,Thu Jun 18 09:52:22 PDT 2009,visheshunni,0,NO_QUERY,0.66018414
dw bub i had the shittest night at work it was cause i wasnt there you would of been awesome love xoxo lt,Mon Apr 20 04:54:29 PDT 2009,torilovesbradie,0,NO_QUERY,0.6809373
iphone is the best phone had all of them also sorry,Mon May 11 22:16:53 PDT 2009,screamyel,0,NO_QUERY,0.6116212
unusual maybe but not narcissistic at all,Sat May 30 03:59:55 PDT 2009,planetchuckie,2,NO_QUERY,0.66648066
not from where i am sat in a datacentre in greenford there not more nora batties stockings from the cleaner,Tue Jun 02 05:53:51 PDT 2009,drjedgar,0,NO_QUERY,0.6348164
my ears are ringing im so tired but i dont wanna sleep tonight was fun had a good time,Sat May 30 07:02:19 PDT 2009,SQUASCHOOM,0,NO_QUERY,0.69516075
h que preguia vou ver the lost world bjs quero ver fastlane poa,Mon Jun 15 10:57:25 PDT 2009,geehx3,0,NO_QUERY,0.6514921
see its cause you cut your hair youre like the antisamson,Tue Apr 21 00:20:49 PDT 2009,riggledo,2,NO_QUERY,0.6137655
i just made biscuits but i doubled the recipe and they came out weird,Tue Jun 23 14:55:19 PDT 2009,clairerocks,0,NO_QUERY,0.68662715
hey peter sorry to ask but have you spoken to rpattz today i was wondering if he was ok bc he was almost run over xxx,Fri Jun 19 09:54:51 PDT 2009,DJMaroona,0,NO_QUERY,0.67795944
i am jessei amim thinkin i might have to try to get a follower on the friendfeed acct i opened the other day,Fri Jun 05 19:34:04 PDT 2009,heykim,2,NO_QUERY,0.6045268
looks like someone made a mistake while registering customer care can help straighten this out,Tue Jun 23 08:31:12 PDT 2009,eHarmony_jack,0,NO_QUERY,0.6921209
im outta tha shower but i cant be botherd getting ready the shower made me more tired baah,Sat Jun 20 08:50:44 PDT 2009,samboothey,0,NO_QUERY,0.67637134
the world just disappear when youre here its like zero gravity i danced like crazy whaha they also hugged each other a,Sat May 16 22:44:59 PDT 2009,sharylsy18,2,NO_QUERY,0.6154305
bugger somewhere on my travels ive lost my flip mino had some good footage of rico tubbs on there ah well best get saving for anot,Sun May 31 02:53:11 PDT 2009,MetroBoy,0,NO_QUERY,0.6795213
you suuuckk anyways howd you get that hook me uuppp idk about jersey though,Fri Jun 05 08:56:10 PDT 2009,TheNotoriousJEN,2,NO_QUERY,0.6209102
is working and super excited to get off work and chillax watch some weeds and eat some za,Fri Jun 05 12:20:16 PDT 2009,AmandaLTouch,2,NO_QUERY,0.67465746
thats what we like to hear forget washing the dirty laundry lets just air it in public instead mmmm,Wed Jun 03 02:56:49 PDT 2009,secret_thoughts,2,NO_QUERY,0.63705665
grad school vs wife amp dog id choose more grad school anyday v doesnt read twitter so i can say this safely,Fri May 29 08:38:02 PDT 2009,parags,2,NO_QUERY,0.6901125
letting it gobreathe lt expects exodus of fpmt followersdats cool,Mon Jun 01 23:34:25 PDT 2009,thubtenyeshe,2,NO_QUERY,0.67634124
off to the welder i love when i get to leave workeven if its work related,Fri May 22 06:31:25 PDT 2009,Beana,2,NO_QUERY,0.69588196
phew thats good least its no longer midnight dark,Tue Jun 16 05:08:17 PDT 2009,talkingtostars,2,NO_QUERY,0.6691039
up and having trouble falling asleep,Sun May 03 01:45:54 PDT 2009,babyday,0,NO_QUERY,0.6189692
i am alive my internet seems to be much better still cant load youtube videos lets see how long it lasts,Sat May 02 05:31:57 PDT 2009,jamesthird,0,NO_QUERY,0.69416344
were in stockholm tuesfriday tues was cheaper to fly i guess tho its still krone then back to oslo ask beate,Mon Jun 01 13:21:48 PDT 2009,KateSees,0,NO_QUERY,0.69064206
planning for an overnight camp this weekend havent figured out where,Tue Jun 02 02:59:42 PDT 2009,lasiaf,0,NO_QUERY,0.67179036
i just want to have fun,Fri May 29 19:25:05 PDT 2009,x5ayres5x,0,NO_QUERY,0.628073
are you asking me this,Sat Apr 18 22:07:08 PDT 2009,WuChann,2,NO_QUERY,0.6240587
uhhhh this sux,Tue May 26 21:08:41 PDT 2009,AmanduhPleez,0,NO_QUERY,0.69008875
that goose bento in that article is pretty impressive though not as impressive as your stuff imo,Sun May 17 09:47:42 PDT 2009,JofArnold,2,NO_QUERY,0.6825124
wants freddie to come and see her,Tue Jun 16 04:03:27 PDT 2009,lowennn,0,NO_QUERY,0.61232567
lol i know i made the mistake of sleeping when i got home,Sat May 09 19:14:23 PDT 2009,Shutterbugiz,0,NO_QUERY,0.6750704
so sorry sorry sorry i love you and youre my unique best friend cause youre always with me i lov e you i love u,Fri Jun 19 19:52:35 PDT 2009,the_PatrickStar,0,NO_QUERY,0.62190545
quite hopefully she doesnt figure it out otherwise youre in trouble,Mon Jun 01 09:39:48 PDT 2009,themattscott,2,NO_QUERY,0.694327
had to bring bosco to the vet hope all turns out okay,Tue Jun 23 11:10:49 PDT 2009,twistywilson,0,NO_QUERY,0.6938623
thats unfortunate is the time zone bit in the first part or the second because thats hilarious,Fri May 22 01:15:54 PDT 2009,uptheapples,0,NO_QUERY,0.67474174
ahah you didntt see o he danced to singlee ladiieees xd with heels ampthe same dress beyonce wore ahahahhaah,Wed Jun 03 10:27:50 PDT 2009,jonasobsessedx,2,NO_QUERY,0.6421876
woot woot going to tampa tonight to see no doubt perform so excited i cant sleep,Mon Jun 01 22:13:57 PDT 2009,all_lee,2,NO_QUERY,0.6476269
computer says no i will have a look on monday,Sat Jun 06 10:58:43 PDT 2009,ChimeraX,0,NO_QUERY,0.64081603
just dropped laura off at the atl airport to go to the dr fb,Sat May 30 05:53:27 PDT 2009,jwhitely,0,NO_QUERY,0.61945224
think i got soap in my eyes eyes running like mad not much more twitter tonight good night everyone xxx,Sun Jun 07 14:35:19 PDT 2009,amykate,2,NO_QUERY,0.6373365
i am getting my texas state mandated vehicle inspection,Thu Jun 18 10:21:04 PDT 2009,thomasjust,0,NO_QUERY,0.67336375
everyone will mistake you for a professor,Fri May 29 19:53:13 PDT 2009,Nattjenta,2,NO_QUERY,0.60275567
new jack city and mimosas we go hard,Sat Jun 06 17:19:11 PDT 2009,AutumnDalila,2,NO_QUERY,0.6318233
yeah i kinda got a gut feeling that the moon would be kinda lame at least u got a little moonshine n ur system,Wed Jun 17 22:59:23 PDT 2009,MsORIGINAL_1908,0,NO_QUERY,0.6064282
ive resorted back to the first few diggnations from withdrawal symptoms the last episode was brilliant,Fri May 29 16:36:54 PDT 2009,Limes102,2,NO_QUERY,0.65028065
just been emailed some really shit news about a friend who has hiv,Sun May 31 18:46:32 PDT 2009,executiverocker,0,NO_QUERY,0.66516685
is having a weekend from hell gf not sure on things and sat in casualty with dad,Sun May 10 05:10:54 PDT 2009,ellhawkes,0,NO_QUERY,0.6197102
didnt we do that promise last night lol,Mon Jun 01 15:41:25 PDT 2009,AceMas21,2,NO_QUERY,0.6954329
i hear ya but just who are reg people these days,Fri Jun 05 09:37:05 PDT 2009,JAGnLA,2,NO_QUERY,0.6909356
people weve been here since am why are you just making your way here now its late and i had dinner plans,Fri Jun 19 22:13:37 PDT 2009,jeannemariepics,0,NO_QUERY,0.6966156
theyre out,Fri Jun 19 16:34:30 PDT 2009,SkinFaceMcGee,0,NO_QUERY,0.6481902
juss waking upugh so lazy,Sun Jun 07 11:15:55 PDT 2009,Baby_O,0,NO_QUERY,0.6704594
the hills used to be the best reality tv seriesuntil kristin cavalleri came along and lauren left,Sat May 30 15:27:06 PDT 2009,VaNessaStYLeS,0,NO_QUERY,0.6623446
wethers turning bbbbaaaadddd bday celebrations were wicked this wkend well knackered from all the cake,Sun Jun 07 11:25:12 PDT 2009,RexMorgan1,2,NO_QUERY,0.6735512
your making me jealous now i want one how long have u guys been married,Fri May 29 00:36:51 PDT 2009,marci723,0,NO_QUERY,0.6735339
tried on beautiful dresses just wish they had fitted oh well back to scrubbing the bin clean,Tue Jun 16 06:32:13 PDT 2009,MightyMiniMo,0,NO_QUERY,0.6214365
its not that hard,Sat May 30 06:14:54 PDT 2009,MarcGrandmaison,2,NO_QUERY,0.6928966
os leaving the flat now byebye first year,Sat Jun 06 00:42:44 PDT 2009,charfree111,0,NO_QUERY,0.681765
i mean im not confident to be exact i have no confidence at all,Mon Apr 20 01:28:32 PDT 2009,karrupin,0,NO_QUERY,0.6170256
lol omg girl the concert was the shit last night rebel souljahz was there too everyone was jammin,Sat Apr 18 10:22:16 PDT 2009,itsgracefoo,2,NO_QUERY,0.69709504
will go to work with a friend this morning and see what he does,Fri May 22 02:04:54 PDT 2009,pastortone,2,NO_QUERY,0.6709708
gt cream together okay now stop tweeting me lies and well leave it to the phone,Sun Jun 07 06:19:19 PDT 2009,twebbstack,2,NO_QUERY,0.61590886
just wanted share perfect sunset in the uk wish id a pic but too chilled move see,Sun May 31 13:10:50 PDT 2009,clare666,2,NO_QUERY,0.68458414
funnn funnn times haha ur never on aim anymore,Sat Jun 20 19:54:38 PDT 2009,Merebearrr,0,NO_QUERY,0.68132275
yes gets everywhere will require another shower when i get home,Sun May 17 09:59:22 PDT 2009,Justin_A,0,NO_QUERY,0.6871425
awayyy to read then bed,Sun Jun 07 14:57:31 PDT 2009,bexxaaaaamate,2,NO_QUERY,0.6978811
i want spotify haha i also want to get some sleeeeep i cant sleep until i read out the book and write about,Sun May 31 12:46:14 PDT 2009,TheCaao,0,NO_QUERY,0.62256885
i havent seen all of ur vids yet but i will any way me is off to bed i guess gn amp sweet dreams,Mon Jun 15 21:23:21 PDT 2009,BillylakeG118,2,NO_QUERY,0.695233
the chores then a coffe i think,Sat May 30 03:11:08 PDT 2009,sirrenna,2,NO_QUERY,0.6633568
yippeeee theres nothing like a good storm,Tue Jun 16 06:28:27 PDT 2009,sassyred,2,NO_QUERY,0.6733807
at least youre not writing boxers is the nwa worship cd done yet i never got my copy who do i write to ta,Thu Jun 18 07:07:26 PDT 2009,KattheKat,0,NO_QUERY,0.65986747
is going to check out the day soon no smoking for me though,Mon Apr 20 00:31:09 PDT 2009,Lewis_k1,0,NO_QUERY,0.67235184
sounds like a plan although ill be on holidayvisiting family work that week,Wed May 27 07:20:37 PDT 2009,timfernando,0,NO_QUERY,0.6821655
when does the hannah montana movie come out on dvd i so need it i lt that movie,Sat May 30 15:40:05 PDT 2009,OMyFREAKINJonas,2,NO_QUERY,0.67611146
dang dont nobody wanna c movies w ya lol,Fri May 01 23:06:12 PDT 2009,blouiemusic,0,NO_QUERY,0.6161456
the hotel is fine last night just only mosquito but the mosquito brought many friends,Mon Jun 01 17:07:45 PDT 2009,tjendana,2,NO_QUERY,0.6446769
no we lost a heart breaker we are the atlanta airport now waiting for the selection show to see where we go for regionals,Sun May 10 18:45:54 PDT 2009,tiffanymcdonald,0,NO_QUERY,0.64307106
real coda mail quotyou know those whatever you call them under the local tab i thought they were links or something so i deleted themquot,Thu Jun 18 14:18:28 PDT 2009,cabel,0,NO_QUERY,0.64866763
teeheehee,Sun Jun 07 12:11:45 PDT 2009,natsuotoast,2,NO_QUERY,0.6237348
just got home work was awesome im so glad to be back,Tue Jun 16 04:17:32 PDT 2009,candyrocks,2,NO_QUERY,0.6203542
is sad but really really really happy goodnightnewyork,Sun Jun 07 08:51:52 PDT 2009,fattialias,0,NO_QUERY,0.67626166
just got home going to eat dinner and hitting the books again i forgot how stressful amp restless summer school can be,Wed Jun 24 22:04:42 PDT 2009,maryecastro23,0,NO_QUERY,0.68567955
waiting for the second match to startim behind the knight riders but only cos they have a cuter outfit,Sun Apr 19 08:04:43 PDT 2009,pinkerjen,2,NO_QUERY,0.6941141
lucky my mum would give them cake,Thu May 14 03:06:56 PDT 2009,Didyme,2,NO_QUERY,0.6516169
unfollowing no mhavia fixat que es una merda de twitterfeed,Mon Jun 15 02:20:48 PDT 2009,suranpu,0,NO_QUERY,0.696244
just saw preview for new moon i still dont see this guy as ed cullen and jacob is how old again wolf looks cartoonish but love it,Mon Jun 01 11:12:40 PDT 2009,MissCocoaLuv,2,NO_QUERY,0.6956098
ouch burned my hand cooking dinner and now have a nice collection of blisters,Fri Jun 19 04:13:36 PDT 2009,merrileefaber,0,NO_QUERY,0.6915984
lovely day and still nothing to do,Sat May 30 04:08:56 PDT 2009,fashiionvictim,0,NO_QUERY,0.6280354
my work weekend begins,Sat May 02 07:58:06 PDT 2009,CrucialAdaption,0,NO_QUERY,0.6243544
so im super hungry got sum chikbroc wr amp it was nastyyyy now wtf ima eat,Sat May 30 11:37:49 PDT 2009,MzHeNNy,0,NO_QUERY,0.62951773
a thats so cuuute,Wed Jun 24 23:44:42 PDT 2009,MistressVarla,0,NO_QUERY,0.6899861
dont leave phoenix,Thu Jun 25 00:23:57 PDT 2009,xodani,0,NO_QUERY,0.6544565
oh and i hate bots too said something once about bone marrow transplant followed by an association for that numerous examples,Sun May 31 01:45:54 PDT 2009,bindme,2,NO_QUERY,0.6961826
has pins and needles in her tootsies,Wed Jun 17 06:58:00 PDT 2009,LindseyJensch,0,NO_QUERY,0.68099463
hadnt realized how low my iphone charge was im back now and charging it,Sat Jun 06 09:17:29 PDT 2009,debmowry,0,NO_QUERY,0.6581262
home and away love short stack almost as much as i love them but i think i love them more,Tue Apr 07 02:44:38 PDT 2009,__emilyy,2,NO_QUERY,0.63610816
got up too early this morning loloh well gave me more time to myself lol,Sun Jun 07 10:17:59 PDT 2009,Aundrea_Silva,2,NO_QUERY,0.6960687
you think you could make any concerts not in michigan its quite hard for me to get over there i entered the concert but,Mon May 18 07:20:06 PDT 2009,ShadyBabe87,0,NO_QUERY,0.6140417
had good dreams last night its been a while,Fri May 29 08:06:04 PDT 2009,Dak831,2,NO_QUERY,0.6484878
its still degrees outside,Sat May 30 23:06:54 PDT 2009,mrspadfield,0,NO_QUERY,0.6378715
i have a headache but im updating blog soon,Mon May 18 08:04:20 PDT 2009,Nubiasnonsense,2,NO_QUERY,0.68867785
there can be miracles when you believe though hope is frail its hard to care who knows what miracles you can achieve sings,Sat May 02 05:47:43 PDT 2009,NadiaFN,2,NO_QUERY,0.6734689
done with sound check now i just gotta get my little girl ready for church it helps living minutes away,Sun Jun 07 06:59:15 PDT 2009,erikreagan,2,NO_QUERY,0.61572456
jozef gets hypnotized by music i wonder where he got that from,Sun May 31 06:29:13 PDT 2009,KeithPaulJason,2,NO_QUERY,0.6174496
dmed you back maam,Sat May 30 10:17:50 PDT 2009,MaybeMyBaby,2,NO_QUERY,0.6515279
of course thanks babes no big party this year i kept it lowkey with carla now in vegas,Fri May 22 00:02:28 PDT 2009,iamdionnamarie,2,NO_QUERY,0.6446647
dont be jealousbe proud i did it alone i didnt last long couldnt get anyone to talk to me,Fri Jun 19 15:26:17 PDT 2009,jinka_jennifer,0,NO_QUERY,0.60225594
designers and the need to get disconnected you are not the only one,Sat Jun 06 21:47:22 PDT 2009,megan_e_allen,2,NO_QUERY,0.6783978
just home from being with mates won no money gambling,Mon Apr 20 05:03:50 PDT 2009,Jac89p,0,NO_QUERY,0.6088736
call of duty waw map pack th june,Sat Jun 06 05:02:32 PDT 2009,Codeyswearse,2,NO_QUERY,0.61427873
survived netball thank god the need to hit c didnt arise full game at wd was tiring enough oh and we won,Sun May 31 07:08:03 PDT 2009,bilff,2,NO_QUERY,0.6826763
trust me if i could do so i would have downgraded to ps cs normal edition while upgrading to cs this time,Wed May 13 23:20:22 PDT 2009,PatchouliW,0,NO_QUERY,0.6376362
quotno anestisia for you since it doesnt work on you anywayquot,Tue Jun 16 15:11:43 PDT 2009,mekatek,0,NO_QUERY,0.69209063
wonders who derrick rose is and why is everyone talking about him hahaha sorry wala akong alam sa nba,Sun Apr 19 08:23:58 PDT 2009,Waley,0,NO_QUERY,0.60495716
done packing,Fri May 22 00:24:59 PDT 2009,mobiledavidd,2,NO_QUERY,0.6635836
two words monday moring,Mon May 18 04:26:48 PDT 2009,ahoskinss,0,NO_QUERY,0.69563985
at eurovision hadises microfon goes on and off fun it was a bit boring noray yay iiiuu germanys song was like said iiiuuu,Sun May 17 03:31:25 PDT 2009,AlishesArzu,2,NO_QUERY,0.6982702
i cant receive quotequot in germany but i will search the video in the internet,Thu Jun 25 02:05:07 PDT 2009,LoyalSteffRose,0,NO_QUERY,0.6339364
yawn in work anyone wanna bring me a starbucks,Tue Jun 16 01:48:25 PDT 2009,omgmashed,0,NO_QUERY,0.6672308
today is a big day the new jb album is coming out but when will he come to israel ill wait to it,Mon Jun 15 06:09:19 PDT 2009,tamamonet,2,NO_QUERY,0.6814308
at least you wont have to shave off your beard when you do the ballroom dancing thing not like when you were a clown,Mon May 18 06:39:00 PDT 2009,Nosceresworld,2,NO_QUERY,0.6489748
oooh dowry is another topic we cud debate days and end up confused i failed miserably in all my attempts,Sat Jun 06 22:05:52 PDT 2009,kuttyedathi,0,NO_QUERY,0.6577075
yeah ken something different tell us what you tonight for ex i missed out on the uncharted beta codes,Mon Jun 15 19:37:21 PDT 2009,richardoswald,0,NO_QUERY,0.62209594
back to columbus with my madre,Sun May 10 10:09:38 PDT 2009,rachelmartinn,2,NO_QUERY,0.60736346
got childcare now exam tomorow,Thu Jun 25 01:36:20 PDT 2009,CoralHowarth,0,NO_QUERY,0.60918593
omg please dont remind me im gonna run tonight when the sun sets,Fri Jun 05 09:13:59 PDT 2009,Rahelalicious,0,NO_QUERY,0.6807251
im bored i cant wait til saturday friday we will be buzzin cos well have tix for jb dddd,Sun May 03 07:59:19 PDT 2009,hayli_isabella,0,NO_QUERY,0.69567215
oooh u went to a santacruzan my dad went to pontevedra to watch i dnt knw if its the same santacruzan tho,Sat May 30 04:15:25 PDT 2009,tippyOquendo,2,NO_QUERY,0.69294715
nick found the last one,Mon Jun 01 09:58:56 PDT 2009,anambanana,2,NO_QUERY,0.6835601
is having a very lazy day,Sun Apr 19 08:24:46 PDT 2009,tezlong,2,NO_QUERY,0.61021423
see why i need a job my husband says it my fault i say not so its my bff i will call her and she will fix,Wed Jun 17 14:49:10 PDT 2009,LaDonnaSellers,0,NO_QUERY,0.66678077
i knew it they showed you guys for like seconds on the play right before the half ended,Fri May 29 18:54:01 PDT 2009,__joker_,2,NO_QUERY,0.62797284
making pasta salad for tomorrow hope my daria doesnt ditch me for her dude,Thu Jun 04 23:15:28 PDT 2009,NicholeAurora,0,NO_QUERY,0.6938585
haha im obsessed w shopping still waiting for my mom though whats taking her so long aaaahh cant wait,Sat Jun 20 03:15:26 PDT 2009,elissajunarso,0,NO_QUERY,0.68517363
i am not too sure i like this short hair thing very much,Mon Jun 22 17:17:06 PDT 2009,priyamooky,0,NO_QUERY,0.6927769
school history science fcs math amp english,Thu May 14 04:10:44 PDT 2009,krystal_xo15,0,NO_QUERY,0.6930844
i sent you a ms message they were having problems yesterday with following blocking and such thought you were made at me,Tue Jun 23 07:56:11 PDT 2009,Carylsixx,0,NO_QUERY,0.6602831
there r many leadership theories more importantly there r avenues to express these only mind only heart heart amp minduse both,Sat Jun 06 14:31:24 PDT 2009,eaglesflite,2,NO_QUERY,0.63595134
month and days til my birthday,Mon Jun 01 22:09:58 PDT 2009,TiffanyAnn16,2,NO_QUERY,0.6917856
happy mothers day all the fabulous moms out there the world wouldnt run without us keep up the good work enjoy ur day,Sat May 09 21:31:44 PDT 2009,josaremama,2,NO_QUERY,0.61337644
hey im not at the cmts tonight either,Tue Jun 16 20:17:11 PDT 2009,rebeccana,0,NO_QUERY,0.65875816
yeah hmm i think so ive never been there before but it was like caravans there haha,Sun Jun 07 08:18:28 PDT 2009,sannajonsson,2,NO_QUERY,0.68609214
well did good on first test bombed nd one looks like rest of class did too finished paper coglab and quiz another test in hrs,Tue Apr 21 03:06:07 PDT 2009,davidwhite21,0,NO_QUERY,0.64469546
me and my michelle,Mon Jun 01 17:54:18 PDT 2009,bngates,2,NO_QUERY,0.6298806
i have made a special preview version of my book its not very good yet but its coming along,Sun May 03 12:19:39 PDT 2009,OffSanity,2,NO_QUERY,0.66106987
last day of school but probably pulling an allnighter after graduation,Tue Jun 02 03:59:40 PDT 2009,manker20,0,NO_QUERY,0.69758826
hahaha i am leaving home before the breakfast starts,Sun May 31 14:17:20 PDT 2009,darrenporter,2,NO_QUERY,0.6975574
